ID	Database Source	Article Title	Author Keywords	Abstract	DOI	Author Full Names	Book Author Full Names	Group Authors	Duplicate Title	Publication Type	Book Editors	Source Title	Language	Document Type	Conference Title	Conference Date	Conference Location	Addresses	Cited References	Cited Reference Count	Times Cited, All Databases	Publisher	Publisher City	Publisher Address	ISSN	ISBN	Publication Year	Volume	Issue	Start Page	End Page	DOI.1	UT (Unique WOS ID)	Pubmed Id	Date of Export	V=Action Coder 1	V=Method Coder 1	V=Discipline Coder 1	V=Group Coder 1	V=Geo Coder 1	Comments Coder 1	V=Action Coder 2	V=Method Coder 2	V=Discipline Coder 2	V=Group Coder 2	V=Geo Coder 2	Comments Coder 2	V=Action Coder 3	V=Method Coder 3	V=Discipline Coder 3	V=Group Coder 3	V=Geo Coder 3	Comments Coder 3
3078	WoS	Cost of free open-access medical education (FOAM): An economic analysis of the top 20 FOAM sites		Background: Free open-access medical education (FOAM) is a growing resource within the field of medicine, in particular, emergency medicine. Yet despite FOAM's contribution to advancing medical education, the precise value of FOAM has never been calculated. As a result, content creators have not been acknowledged, either financially or academically, for their deliverables. The aim of this paper was to meet this challenge by determining a value for the top 20 FOAM sites as determined by web traffic in emergency medicine through two approaches. The first approach was to value the websites through a market-based method, where the value of the website was extrapolated from the number of blog posts published. The second approach was through a traffic analysis for each website. Methods: The top 20 FOAM websites in emergency medicine were identified and the monetary value of each resource was calculated through two methods, the first by extrapolating the number of blog posts published by each resource and the second through traffic analysis conducted by a third-party industry specialist based on the number of unique visitors and page visits. Results: The median page views per month was 194,850 and the median number of unique visitors was 138,350. Based on the content valuation method, the median value of content produced in a year was $2337.06 per website. Through the traffic valuation method, the median overall value of a website was $22,815. Conclusions: Although two different approaches were used to value FOAM, both came to the same conclusion that there is substantial economic value being produced. This value should not go unrewarded and content creators should be acknowledged either academically or financially for their contributions.	10.1002/aet2.10795	Lee, M; Hamilton, D; Chan, TM																					2022.0					10.1002/aet2.10795			44958	a=openeducation	m=other	d=med	t=none	geo=all		a=openaccess	m=document review	d=med	t=none	geo=all							
3080	WoS	COVID-19 and the scientific publishing system: growth, open access and scientific fields	COVID-19; Scientific publications; Growth of science; Dimensions; Open access	We model the growth of scientific literature related to COVID-19 and forecast the expected growth from 1 June 2021. Considering the significant scientific and financial efforts made by the research community to find solutions to end the COVID-19 pandemic, an unprecedented volume of scientific outputs is being produced. This questions the capacity of scientists, politicians and citizens to maintain infrastructure, digest content and take scientifically informed decisions. A crucial aspect is to make predictions to prepare for such a large corpus of scientific literature. Here we base our predictions on the Autoregressive Integrated Moving Average (ARIMA) and exponential smoothing models using the Dimensions database. This source has the particularity of including in the metadata information on the date in which papers were indexed. We present global predictions, plus predictions in three specific settings: by type of access (Open Access), by domain-specific repository (SSRN and MedRxiv) and by several research fields. We conclude by discussing our findings.	10.1007/s11192-022-04536-x	Nane, GF; Robinson-Garcia, N; van Schalkwyk, F; Torres-Salinas, D																					2022.0					10.1007/s11192-022-04536-x			44958	a=openaccess	m=other	d=med; d=hum; d=socscie; d=natscie	t=researcher	geo=all		a=openaccess	m=biblio	d=none	t=none	geo=all							
3092	Scopus	Data from “Open Data engages Citation and Reuse: A Follow-up Study on Enhanced Publication”	Attitude Change; Data Citation; Data Reuse; Enhanced Publication	The data collected is based on the responses of forty-four authors/researchers, who have presented full-text papers published in the International Conference Series on Grey Literature2. The dataset consists of responses to ten questions, two of which are openended. Six of the questions are taken from a questionnaire carried out in 2011 within GreyNet’s Enhanced Publications Project. The data contain the number of responses and percentages to each question. The questions deal with the author’s own empirical research data, its availability, the formats in which it appears, and the author’s willingness to archive it and make it openly accessible. Additional questions deal with the respondent’s citation and reference to data, their use of data journals in carrying out search and retrieval, and whether they have (co)authored a data paper or data article. The data was collected via SurveyMonkey3, where it remains stored along with a copy in .ods format in the DANS EASY Archive4. The reuse of the questions and data collected from the study in 2011 is likewise based on the same selection used to define the population of the earlier study. The data collected allows for insight into the changing attitudes and practices within GreyNet’s research community and renders a use case for other research communities. © 2022, GreyNet. All rights reserved.	10.17026/dans-zy8-fcjw	Farace D., Schöpfel J.																					2022.0					10.17026/dans-zy8-fcjw			44958	d=opendata	m=survey	d=natscie	t=researcher	geo=all	d = library / information studies	a=opendata	m=survey	d=none	t=none	geo=all							
3094	WoS	Data sharing practices in open access mode: a study of the willingness to share data in different disciplines		Introduction. Considering the problems of making research data freely available despite many initiatives and legislation, this study explores the possible differences and similarities of research fields in understanding and enacting open access use and sharing of research data. Method. An online survey was distributed and 671 responses of researchers from Lithuania and Finland were surveyed. Analysis. Chi-squared tests were used to compare proportions across questions groups. Bonferroni corrections applied to p-values were used to reduce the risk of type I errors in the post-hoc analysis of Chi-squared tests. Chi-squared post-hoc tests using adjusted residuals were calculated. Results. Willingness to share research data in open access mode was higher in natural, biomedical and technological sciences than in humanities and social sciences. Although the principle of open research data is supported, there are considerable differences in the character of research data, and the ethical concerns and data management policies between different research fields. Conclusions. Changing culture of data sharing is much harder than publication of new initiatives and legislation. By comparing results with the data from same survey from UK, France, and Turkey we find out that researcher in Finland and Lithuania are more conservative regarding open research data.	10.47989/irpaper932	Enwald, H; Grigas, V; Rudzioniene, J; Kortelainen, T																					2022.0					10.47989/irpaper932			44958	a=opendata	m=survey	d=natscie; d=eng; d=hum; d=med; d=socscie	t=researcher	geo=FIN; geo=LTU; geo=GBR; geo=TUR; geo=FRA		a=opendata	m=survey	d=none	t=none	geo=FIN; geo=LTU							
3095	Scopus	Data sources and their effects on the measurement of open access. Comparing dimensions with the web of science	Accurate measurement; Bibliometric; Data-source; Data-sources; Open Data; Publishing; Web of Science	With the amount of open access (OA) mandates at the funder and institution level growing, the accurate measurement of OA publishing is an important policy question. Existing studies have provided estimates of the prevalence of OA publications ranging from 27.9% to 53.7%, depending on the data source and period of investigation. This paper aims at providing a comparison of the proportion of OA publishing as represented in two bibliometric databases, Web of Science (WoS) and Dimensions, and assess how it affects the measurement of OA across different countries. Results show that publications indexed in Dimensions have a higher percentage of OA than those indexed by the WoS, especially for publications from outside North America and Europe. The paper concludes with a discussion of the cause and consequences of these differences, motivating for the use of more inclusive databases when examining OA, especially for publications beyond North America and Europe. © 2021 18th International Conference on Scientometrics and Informetrics, ISSI 2021. All rights reserved.		Basson, I.; Simard, M.-A.; Ouangré, Z.A.; Sugimoto, C.R.; Larivière, V.						18th International Conference on Scientometrics and Informetrics, ISSI 2021	English	conferencePaper													2021.0								44958	a=openaccess	m=biblio	d=none	t=none	geo=all		a=openaccess	m=biblio	d=none	t=none	geo=all							
3101	WoS	Determinants of article processing charges for hybrid and gold open access journals	Market power; Article processing charge; Gold open access journal; Hybrid journal; Springer imprint; Subscription journal	Purpose While the number of hybrid journals has increased with the conversion from subscription journals, article processing charges (APCs) have not been examined as frequently as gold open access journals. This study compared the factors affecting APCs for hybrid and gold open access journals by formulating a charge equation. Design/methodology/approach This study examined the APCs for 1,354 hybrid and gold open access journals in the Springer imprint. Using the ordinary least squares method, it investigated the determinants of charges, including the relationship between subscription prices and APCs for hybrid journals. Findings The results revealed that the charges set by hybrid journals were higher than those set by gold open access journals by US$1,620, after controlling for other variables. A reason could be the oligopolistic market structure of the leading publishers. Although the publisher imprint set the APCs based on the journal characteristics, the difference in the determinants of the charges between the two journal types may be due to the business models specific to the journal types. Research limitations/implications The findings suggested that policymakers must consider the market power of leading publishers to establish a healthy scholarly communication market. Originality/value This study examined the relationship between subscription prices and charges for hybrid journals as well as the determinants of charges for both journal types, considering various characteristics of individual journals.	10.1108/IDD-09-2021-0098	Asai, S																					2022.0					10.1108/IDD-09-2021-0098			44958	a=openaccess	m=document review	d=none	t=none	geo=all		a=openaccess	m=biblio	d=none	t=none	geo=all							
3102	Scopus	Developing solutions for open access to the full text of theses/ dissertations of educational and research institutes in Iran		Students as researchers need valuable resources related to their fields such as theses/ dissertations. Open access should be supported by educational and research institutes and faculty members so that information is easily available to scholars, scientists and students. However, some of the educational and research centers refuse to make their theses and dissertations available, and they announce a variety of reasons for this refusal of access. By identifying these reasons, this research tries to eliminate them. For this purpose, first, according to the results of previous researches, a list of factors influencing open access to theses and dissertations were extracted. Then, in order to complete and finalize the mentioned list, the impact of these factors has been investigated using Delphi method and questionnaire tool. In this research, Delphi panel consists of 14 faculty members of educational and research institutes in Tehran who have been selected by purposeful sampling method. The results show that the factors of laws and regulations, social impact, information technology, author’s credibility, observability, perceived awareness, attitude toward open access, self-confidence in knowledge dissemination, controllability, perceptual compatibility and culture have influence on open access to theses and dissertations. © 2021 Iranian Research Institute for Scientific Information and Documentation. All rights reserved.		Shirani, F.; Hodaei, H.; Namdarian, L.						Iranian Journal of Information Processing and Management	Persian	journalArticle													2021.0	36	2						44958	a=openaccess	m=interview	d=none	t=researcher; t=other	geo=IRN		a=openaccess	m=interview	d=socscie	t=researcher	geo=IRN							
3109	WoS	Diamond Open Access in Norway 2017-2020	Diamond OA; Norway; Gold OA; scholarly publishing	We see from information published elsewhere that Gold OA is on the increase globally. The OA Diamond study indicates that Diamond OA is an important component of scholarly communications, with an estimated 8-9% of the total global scholarly output. These numbers, however, are on a global scale and are not necessarily representative of any given country; country case studies are needed to find this information. Norway is a country where the government has declared a 100% OA goal and most research has public funding. Norway has good financing structures for various models of OA, and it has a national CRIS system. This study tries to find and present numbers for articles in scholarly journals to describe both recent developments and relative numbers for Norway as a whole, and for scholarly fields in Norway, with regards to Diamond OA. Numbers for and development of Gold OA will also be given and commented upon to some extent.	10.3390/publications10010013	Frantsvag, JE																					2022.0					10.3390/publications10010013			44958	a=openaccess	m=biblio	d=none	t=none	geo=NOR	method could also be document review	a=openaccess	m=biblio	d=none	t=none	geo=NOR							
3111	WoS	Digital librarianship practice and open access technology use for sustainable development in Nigeria	Digital library services; Digital librarianship; Open access technology; Open source technology; Sustainable development; Educational development; Sustainable Development Goal	Purpose The continuous advancement in technology has disrupted practices in many sectors, including education. Thus, this study aims to examine digital librarianship practice and open access technology use for sustainable development in Nigeria. Design/methodology/approach The survey type of descriptive research design was adopted in this study while the population of the study comprised librarians in universities in Delta State. A total of 38 randomly selected librarians from four universities in Delta State were used for this study, and the data collected were analysed using descriptive statistics. Findings This study revealed that the level of digital librarianship practice in university libraries in Delta State for sustainable development is low; just as social media tools, open source integrated library systems and Google Cloud Platforms are the most commonly used open access technologies in the libraries. Furthermore, this study showed that perennial factors such as poor funding of education, inadequate quality educational infrastructure, mismanagement of education fund among others are hindrance to sustainable development in the country's educational sector. Research limitations/implications This study is limited in its use of only one state (out of 36 states and the Federal Capital Territory, Abuja) in Nigeria for this research. Also, social desirability bias on the part of the respondents could have influenced the pattern in which the respondents reacted to items in section D. Practical implications This study has practical implications for the sensitization and training of librarians towards leveraging on the various open access technologies in delivering effective library and information services required in the Fourth Industrial revolution. Originality/value This study seeks to pioneer a new area of focus by examining digital librarianship practice and open access technology use as enablers of sustainable development.	10.1108/DLP-01-2021-0007	Okuonghae, Omorodion; Achugbue, Edwin Iroroeavwo				J		DIGITAL LIBRARY PERSPECTIVES	English	Article; Early Access				[Okuonghae, Omorodion] Samuel Adegboyega Univ, Univ Lib, Ogwa, Nigeria; [Achugbue, Edwin Iroroeavwo] Delta State Univ, Dept Lib & Informat Sci, Cleveland, MS USA		36.0	0.0	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	2059-5816							10.1108/DLP-01-2021-0007	WOS:000728215300001		44958	a=openaccess	m=survey	d=none	t=librarian	geo=NGA		a=openaccess	m=survey	d=none	t=librarian	geo=NGA							
3112	Scopus	Digital librarianship practice and open access technology use for sustainable development in Nigeria	Digital librarianship; Digital library services; Educational development; Open access technology; Open source technology; Sustainable development; Sustainable Development Goal	Purpose: The continuous advancement in technology has disrupted practices in many sectors, including education. Thus, this study aims to examine digital librarianship practice and open access technology use for sustainable development in Nigeria. Design/methodology/approach: The survey type of descriptive research design was adopted in this study while the population of the study comprised librarians in universities in Delta State. A total of 38 randomly selected librarians from four universities in Delta State were used for this study, and the data collected were analysed using descriptive statistics. Findings: This study revealed that the level of digital librarianship practice in university libraries in Delta State for sustainable development is low; just as social media tools, open source integrated library systems and Google Cloud Platforms are the most commonly used open access technologies in the libraries. Furthermore, this study showed that perennial factors such as poor funding of education, inadequate quality educational infrastructure, mismanagement of education fund among others are hindrance to sustainable development in the country’s educational sector. Research limitations/implications: This study is limited in its use of only one state (out of 36 states and the Federal Capital Territory, Abuja) in Nigeria for this research. Also, social desirability bias on the part of the respondents could have influenced the pattern in which the respondents reacted to items in section D. Practical implications: This study has practical implications for the sensitization and training of librarians towards leveraging on the various open access technologies in delivering effective library and information services required in the Fourth Industrial revolution. Originality/value: This study seeks to pioneer a new area of focus by examining digital librarianship practice and open access technology use as enablers of sustainable development. © 2021, Emerald Publishing Limited.	10.1108/DLP-01-2021-0007	Okuonghae O., Achugbue E.I.																					2022.0					10.1108/DLP-01-2021-0007			44958						double entry - see 3111						same study as 3111 above						
